Copyright:  ZZ Resistivity Imaging Pty Ltd -------- www.zzgeo.com
Electrode checking results:
    
Format:  electrode no.;    Current_value;     Resistant value;       Good/Bad/Unused
 2             electrode checkings are completed
************ Electrode checking            1 
 1            Common electrode no.:        1 
 2             78           -1            -1               Unused
 2             79           -1            -1               Unused
 2             80           -1            -1               Unused
 2             81           -1            -1               Unused
 2             82           -1            -1               Unused
 2             83           -1            -1               Unused
 2             84           -1            -1               Unused
 2             85           -1            -1               Unused
 2             86           -1            -1               Unused
 2             87           -1            -1               Unused
 2             88           -1            -1               Unused
 2             89           -1            -1               Unused
 2             90           -1            -1               Unused
 2             91           -1            -1               Unused
 2             92           -1            -1               Unused
 2             93           -1            -1               Unused
 2             94           -1            -1               Unused
 2             95           -1            -1               Unused
 2             96           -1            -1               Unused
End of electrode check data.
